stringId,EN,KO,ZH_CN,ZH_TW,JA,RU,ES,PT,FR,DE,TH,AR,IT,TR,ID
item.desc.add_turn,+3 Turns at Start,+3 턴으로 시작,,,,,,,,,,,,,
item.name.bomb,Bomb,폭탄,,,,,,,,,,,,,
item.desc.bomb,Removes 3x3 cells,3x3 영역 제거,,,,,,,,,,,,,
item.name.h_rocket,H-Rocket,가로 로켓,,,,,,,,,,,,,
item.desc.h_rocket,Clears a horizontal row,가로 줄 한 행 제거,,,,,,,,,,,,,
item.name.color_sweep,Color Sweep,컬러 스윕,,,,,,,,,,,,,
item.desc.color_sweep,Clears all cells of same color,동일 색상 전체 제거,,,,,,,,,,,,,
item.name.row_shift,Row Shift,로우 시프트,,,,,,,,,,,,,
item.desc.row_shift,Swipe to slide rows,행 스와이프 밀착,,,,,,,,,,,,,
item.name.cell_swap,Cell Swap,셀 스왑,,,,,,,,,,,,,
item.desc.cell_swap,Swap two cell positions,두 셀의 위치 교환,,,,,,,,,,,,,
tut.tap_group,Tap connected cells of the same color!,같은 색 셀들을 탭하세요!,,,,,,,,,,,,,
tut.gravity_explain,Cells fall downward,셀이 아래로 떨어져요,,,,,,,,,,,,,
tut.turn_explain,Each stage has a turn limit,스테이지마다 턴 제한이 있어요,,,,,,,,,,,,,
tut.ratio_explain,You can check the number of remaining cells here,남은 셀의 개수는 여기서 확인해요,,,,,,,,,,,,,
tut.star_explain,"The fewer cells you have remaining, the more stars you can earn",남은 셀이 적을수록 많은 별을 받을 수 있어요,,,,,,,,,,,,,
tut.free_tap,Now try tapping on your own!,이제 직접 탭해보세요!,,,,,,,,,,,,,
tut.protector_what,This cell has a shield,이 셀에는 보호막이 있어요,,,,,,,,,,,,,
tut.protector_how,Tap a same-color group to strip it,같은 색 그룹을 탭하면 벗겨져요,,,,,,,,,,,,,
tut.core_warning,This cell must be removed to clear the stage,이 셀을 제거해야 스테이지 클리어가 돼요,,,,,,,,,,,,,
tut.obstacle_what,This cell cannot be removed by tapping,이 셀은 탭으로 제거할 수 없어요,,,,,,,,,,,,,
tut.item_hint_prompt,Try using an item!,아이템을 써보세요!,,,,,,,,,,,,,
tut.item_bomb_effect,Bomb: removes all surrounding cells at once,폭탄: 주변 셀을 한 번에 제거해요,,,,,,,,,,,,,
chapter.name_fmt,Chapter {0},챕터 {0},,,,,,,,,,,,,
popup.account.btn_save,Save,저장,,,,,,,,,,,,,
popup.account.label_nickname,NICKNAME,닉네임,,,,,,,,,,,,,
popup.account.label_select_avatar,SELECT AVATAR,아바타 선택,,,,,,,,,,,,,
popup.account.tab_avatars,Avatars,아바타,,,,,,,,,,,,,
popup.account.tab_board_skins,Board Skins,보드 스킨,,,,,,,,,,,,,
popup.account.placeholder_nickname,Enter nickname...,닉네임 입력...,,,,,,,,,,,,,
popup.fail.watch_ad,Watch Ad,광고 보기,,,,,,,,,,,,,
chapter.locked,Locked,잠김,,,,,,,,,,,,,
popup.settings.haptic,Haptic,진동,,,,,,,,,,,,,
popup.settings.language,Language,언어,,,,,,,,,,,,,
popup.settings.lang.KO,Korean,한국어,,,,,,,,,,,,,
popup.settings.lang.EN,English,영어,,,,,,,,,,,,,
common.loading,Loading,로딩 중,,,,,,,,,,,,,
common.gold,Gold,골드,,,,,,,,,,,,,
common.btn_unlock,Unlock,잠금 해제,,,,,,,,,,,,,
common.btn_switch,Switch,전환,,,,,,,,,,,,,
error.ad_failed,Ad watching failed.,광고 시청에 실패했습니다.,,,,,,,,,,,,,
popup.fail.remaining_revives_fmt,Remaining Revives: {0},남은 부활 횟수: {0},,,,,,,,,,,,,
popup.account.confirm_unlock_theme_title,Unlock Theme,테마 잠금 해제,,,,,,,,,,,,,
popup.account.confirm_unlock_theme_body_fmt,Unlock this board theme for {0} Gold?,이 보드 테마를 {0} 골드로 잠금 해제할까요?,,,,,,,,,,,,,
popup.account.confirm_failed_unlock_theme,Failed to unlock board theme.,보드 테마 잠금 해제에 실패했습니다.,,,,,,,,,,,,,
popup.account.confirm_unlock_avatar_title,Unlock Avatar,아바타 잠금 해제,,,,,,,,,,,,,
popup.account.confirm_unlock_avatar_body_fmt,Unlock this avatar for {0} Gold?,이 아바타를 {0} 골드로 잠금 해제할까요?,,,,,,,,,,,,,
popup.account.confirm_failed_unlock_avatar,Failed to unlock avatar.,아바타 잠금 해제에 실패했습니다.,,,,,,,,,,,,,
popup.account.confirm_switch_title,Switch Account,계정 전환,,,,,,,,,,,,,
popup.account.confirm_switch_body,Switching accounts will replace local data with the new account data. Your current account data is preserved on the server.,계정을 전환하면 현재 기기의 데이터가 새 계정의 데이터로 교체됩니다. 현재 계정 데이터는 서버에 보관됩니다.,,,,,,,,,,,,,
toast.insufficient_gold,Insufficient Gold!,골드 부족!,,,,,,,,,,,,,
toast.stage_locked,Stage is locked!,스테이지가 잠겨 있습니다!,,,,,,,,,,,,,
toast.booster_purchased,Purchased booster!,부스터를 구매했습니다!,,,,,,,,,,,,,
toast.revived,Revived! Turns granted.,부활했습니다! 턴이 추가되었습니다.,,,,,,,,,,,,,
toast.ad_cancelled,Ad failed or was cancelled.,광고를 불러오지 못했거나 취소되었습니다.,,,,,,,,,,,,,
toast.life_gained,+1 Life!,생명력 +1!,,,,,,,,,,,,,
toast.chapter_unlock_requirement,3-star all stages in this chapter to unlock!,챕터의 모든 스테이지를 3성으로 클리어해야 해제됩니다!,,,,,,,,,,,,,
toast.chest_claimed,Chest Claimed!,보물상자 획득!,,,,,,,,,,,,,
toast.nickname_length_error,Nickname must be between 2 and 24 characters.,닉네임은 2~24자여야 합니다.,,,,,,,,,,,,,
toast.nickname_char_error,Only letters numbers spaces underscores and hyphens are allowed.,영문자·숫자·공백·밑줄·하이픈만 사용할 수 있습니다.,,,,,,,,,,,,,
toast.nickname_updated,Nickname updated successfully!,닉네임이 성공적으로 업데이트되었습니다!,,,,,,,,,,,,,
toast.nickname_update_failed,Failed to update nickname.,닉네임 업데이트에 실패했습니다.,,,,,,,,,,,,,
toast.theme_not_enough_gold,Not enough gold to unlock this theme.,이 테마를 잠금 해제할 골드가 부족합니다.,,,,,,,,,,,,,
toast.theme_equipped,Board theme equipped!,보드 테마가 장착되었습니다!,,,,,,,,,,,,,
toast.theme_equip_failed,Failed to equip board theme.,보드 테마 장착에 실패했습니다.,,,,,,,,,,,,,
toast.theme_unlocked,Board theme unlocked and equipped!,보드 테마가 해제되고 장착되었습니다!,,,,,,,,,,,,,
toast.avatar_not_enough_gold,Not enough gold to unlock this avatar.,이 아바타를 잠금 해제할 골드가 부족합니다.,,,,,,,,,,,,,
toast.avatar_equipped,Avatar equipped!,아바타가 장착되었습니다!,,,,,,,,,,,,,
toast.avatar_equip_failed,Failed to equip avatar.,아바타 장착에 실패했습니다.,,,,,,,,,,,,,
toast.avatar_unlocked,Avatar unlocked and equipped!,아바타가 해제되고 장착되었습니다!,,,,,,,,,,,,,
toast.google_signin_not_configured,Google Sign-In is not configured.,Google 로그인이 설정되지 않았습니다.,,,,,,,,,,,,,
toast.google_signin_unavailable,Google Sign-In unavailable.,Google 로그인을 사용할 수 없습니다.,,,,,,,,,,,,,
toast.account_linked,Account linked successfully!,계정이 성공적으로 연동되었습니다!,,,,,,,,,,,,,
toast.account_switched,Account switched successfully!,계정이 성공적으로 전환되었습니다!,,,,,,,,,,,,,
toast.google_signin_android_only,Google Sign-In is only supported on Android.,Google 로그인은 안드로이드에서만 지원됩니다.,,,,,,,,,,,,,
toast.item_spend_failed,Failed to use item. Please try again.,아이템 사용에 실패했습니다. 다시 시도해 주세요.,,,,,,,,,,,,,
popup.stamina.out_of_lives,Out of Lives,라이프 부족,,,,,,,,,,,,,
popup.stamina.watch_ad_body,Watch an advertisement to gain 1 Life immediately?,광고를 시청해서 즉시 생명력 1개를 얻을까요?,,,,,,,,,,,,,
popup.account.choose_avatar,Choose Avatar,아바타 선택,,,,,,,,,,,,,
popup.account.choose_board_theme,Choose Board Theme,보드 테마 선택,,,,,,,,,,,,,
toast.chest_claim_failed,Failed to claim chest.,보물상자 획득에 실패했습니다.,,,,,,,,,,,,,
popup.boot.continue_as_guest_title,Continue as Guest?,게스트로 계속할까요?,,,,,,,,,,,,,
popup.boot.continue_as_guest_body,Progress linked to your account will not be accessible.,계정에 연동된 진행 데이터에 접근할 수 없게 됩니다.,,,,,,,,,,,,,
shop.coming_soon,This package will be available for In-App Purchase in a future update.,이 패키지는 향후 업데이트에서 인앱 결제로 제공될 예정입니다.,,,,,,,,,,,,,
shop.starter_pack,Starter Pack,스타터 팩,,,,,,,,,,,,,
shop.item_bundle,Item Bundle,아이템 번들,,,,,,,,,,,,,
shop.remove_ads,Remove Ads,광고 제거,,,,,,,,,,,,,
